username,comment
@Life-With-MaduR,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=762"">12:42</a> legendary food expert never heard of Drumsticks"
@peachboyriverside156,You can find many cheap food in India you can filled your stomach full whenever I go outside of North East I always visit Muslim shop cos I love the way they cook everything neet and clean 😊
@TishArtMa1,Beautiful India thank you ❤
@galahad5688,Bro just stop comparing Rupees to Dollar and calling things cheap. There is Purchasing power parity of US and India.<br><br> A taxi driver in US makes money close to a Corporate White Collar man in India but their living standards are way off.😂
@Olaamigo16,High cholesterol level calling you
@vajjevajjsson2025,also the potatoes was almost half peeled and all the BAD BLACK things in them he completely ignored... LAME
@vajjevajjsson2025,he forgot to remove the green poisonous potatoes. never trying any of those from that company ever. also there&#39;s NO FOOD sanitaion what so ever. I mean HOW HARD can it be
@simplybeingme143,&quot;Bad Samosa is not hyhenic&quot; Okay 🙄.
@bobmarshall3700,Why does this idiot wear that stupid red thing around his head?
@Cap1Sugar,SEEEEEEAAASONING!
@W_Oxygen,"US you should give your money for this kind of activity, stop burn your citizen tax to izrael and ukraine lmao"
@marsmaker3667,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=230"">3:50</a> sorry but that looks exactly like a pile of shit."
@scottgordon1781,"Here in South Africa , we call it Samoosa :-)"
@AniruddhaSalunke-gz8uq,Moringa power is made from drum sticks which contains 92 nutrients out of 96 total nutrients
@youkispy,the amount of subtle racism is mind boggling
@Dperns,So unhygienic
@A-Nash,"Am sure the vegetable you called a drum stick is Okra, Abelmoschus esculentus, known in some English-speaking countries as lady&#39;s fingers"
@jenovia22,Oh thank god Sonny is actually in this video. And not like a certain channel 👀
@Boredgasm,"I was like wow, that first place is surprisingly hygienic for India’s standards. Then I saw the second place and was like wow the difference is night and day between the first and second place 😮"
@Ben_Ausssie_Lad,Unfortunately Indian cuisine goes right through me like a freight train :(
@GAURAV2024-h2c,iske muh me samosa khate khate pani aa rha hai😀😀😀😀
@TheNoeticSkeptic702,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=315"">5:15</a> Unlike in the U.S., if he slows down, he gets fired."
@truculenttabasco,Surprised the boys don&#39;t stir it with their toes tbh
@leofiredog,"No additves chemicals or crap, just food."
@yerihon78,Love how hard they work to  come up with company logo by just simply copying the shit logo.. That&#39;s genius.. 😄
@gohokar,There has to be a typo here. The cost cant be $0.02. Thats about ₹ 1.75 per meal. I am from the F&amp;B industry and have seen the costing of the largest charitable kitchen in the world.
@abigyatiwari8067,"Sonny is back in India, and that&#39;s great. Additionally, please show the correct map of India"
@arunrana6019,Well done sonny....
@prabhatsrivastava8545,Real samosa testing bro come to Delhi
@insane_O7,Welcome to India ❤❤❤❤❤
@yashsaxena7940,Thank you for coming to INDIA.
@Smurtehmurph,no shoes in the first place :O
@RV31895,Visit mahakumbh
@amazingdude9042,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=420"">7:00</a> that&#39;s lame AF. they do eat peanuts but avoid other stuff ? lol. also they cover only mouth to not let bacteria in which is also lame. that entire so called religion is a nonsense."
@piolet3399,"bro WTF is that indian map in <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=60"">1:00</a>"
@ErAyushvarshney,"Loved the fact that the lady asked you if you like the food, she did not cook it but still asked you ☺️☺️🥹"
@the6freddyfred618,First time in my life seen payet wearing gloves 😂😂😂
@bulbolnidolphy09,No way they prepared it this clean
@cxxmax,"Buddy is getting paid per samosa 😂 <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=315"">5:15</a>"
@sachinrathor1719,Loved this one
@sachinrathor1719,Awesome Video
@garyherbert319,The samosa filler guy forgot to put on two gloves. I&#39;m guessing they only wore them for the filming that&#39;s why he forgot.
@Sonu-nu9hb,Yum...Delicious... You made me want to eat it today i will ask my mom to make it 🤤
@Bigbashbang2,It costs YOU 2 cents a meal.
@BatfreakinMan,"with so many awful indian street food videos, finally a good video that depicts the food a common person in india eats. This is the food for the majority of indians."
@nightfallvampire,Masala blend looks like human 💩 😅 ok sorry what the hell why aren’t they using their feet  to wash potatoes
@user-nb8xq1li4d,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
@KingJenish,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=59"">0:59</a> the indian map is wrong Kashmiris a part of India please correct it 😡"
@jeopardyking7187,RICE IS LIFE GANG💪💪💪💪
@mikehunt2015,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=705"">11:45</a> I might have no clue what I&#39;m talking about, but I think &quot;water gar&quot; might be &quot;water jar&quot;. Maybe in reference to bottle gourds? I believe this vegetable is what we call calabash."
@BTSHIDEAWAY,Thank you for representing India with so much respect and earth 😊. I love the way you respect different cultures and people ❤️
@briggitelondon,<b>INDIANS CAN LITERALLY EAT SH*T AND THEY WOULDN’T KNOW THE DIFFERENCE.</b> 😂
@siddheshghag02,Holy shit..are you in thane?
@kironsimba8508,"comon y the subtitles, the guy ws speaking english thats R......"
@lewissilvio4740,where&#39;s ya hair net lol
@dcbqb19,I love how the &quot;charitable&quot; food place was so much more hygienic (ironically) compared to that Samosa place that mentioned how important hygienic ingredients were important 😂
@jeopardyking7187,SAMOSA WRAPPER IS BETTER THAN ANY RAPPER
@toddburgess5056,Watching this at 2 AM made me so hungry for indian food that i ended up microwaving a frozen indian meal of paneer tokka masala with fragrant rice 😊
@UnknownPurush,I am seeing a different side of my own country. My Maha Bharat.
@makeinindia007-e8r,"Pls god , all my next lives let me born in my India again and again"
@KainYusanagi,&quot;drumsticks&quot; are the immature seed pods/fruit of the Moringa tree!
@briggitelondon,"<b><a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=310"">5:10</a></b><b> THE ONE HAND THAT HOLDS THE WRAPPER HAS GLOVES AND THE OTHER ONE THAT ACTUALLY TOUCHES THE FOOD DOESN’T HAVE ONE. DAMN. INDIA REALLY LOVES TO EAT GERMS AND BACTERIA.</b>"
@garukno96,"if this kind of charity/donation done in my country, most people will only get their meal for 2 days, and the rest is history"
@BadBoybBubby,Far out their wearing gloves
@briggitelondon,<b>OMG HATS OFF TO YOU FOR ENDURING THE STENCH AND BACTERIA ALL AROUND YOU</b>
@SunsetChaser04,Charity kitchen workers in mask.<br><br>Sonny: no masks then proceeds to blabber in front of the food being prepared. 🗣️💦 <br><br>😂😂😂
@toddburgess5056,"Im never satisfied with only 2 samosas, I could easily eat 4-6 WITH my meal. Those things are so GD delicious !!  Keep them coming !<br>🤤🤤🤤🤤"
@MightyPooPSTEAM,Ya bro....those pickles.....should just be like half a tablespoon of serving. Its just something to get your saliva production going and provide a bright contrast to the other flavours.
@abrahamgarcia3305,In n out peels potatoes that way !
@tito-kr7rm,Everytime Sonny says &quot;seasoning &quot; an angel gets its wings .
@NicotineftCoffeeFlavoredWater,Keep encouraging people to stay poor smh
@NicotineftCoffeeFlavoredWater,What will happen if they used utensils? Smh
@jmantwild9373,"Two birds with one stone. They feed the hungry, and because of the bad hygiene standards they reduce the surplus population with cholera and typhoid.😅"
@Allen-jj7vv,I remembered I eat some Samosa in indie restaurant and that tasted really good
@thiefgaming7666,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=60"">1:00</a> what is that map sony? Change it"
@mirosh7414,drumstick best for before honeymoon dinner ☠️
@luckycat7728,Worst country and people ever
@sachinuchil8890,I&#39;m from Mumbai and hadn&#39;t heard of City Samosa before this.<br>Same goes with Akshaya Chaitanya. I was only aware of the work done by the Akshaya Patra Foundation (ISKCON).
@MenCanNotBeWomen,the second factory is a lot lot cleaner than the first one...
@MikePaton-Williams-yv9qo,"That food factory is stupendous. I feel ashamed. In the 70s my expensive public school would bring a handful of us to London to work the Soup Run. Once a month we were allowed to stay up all night bringing hot soup and rolls to homeless people. Some of these folk would be sleeping over the kitchen grills of top tier, central London hotels to get the warmth. A humbling experience for us kids but in no way comparable to what India is doing today. Respect🙏🏽🙏🏽👍"
@AsliddinboySalohiddinov,after this video i know india has also some hygenic foods
@ShotgunSsergio,Those Indians hated u being there filming
@hellomyfriend7932,So happy to see Sonny in India. Way better than those videos where he wasnt there
@drawmaster77,Slop
@MikePaton-Williams-yv9qo,Cool to see Sonny actually in India rather than doing a voice over👍👍👍
@hiyesmail,這一餐只需要 0.7 新台幣，CP值太高了
@BarryMckulkiner,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=414"">6:54</a> Almost all Jains are vegetarian, in line with guidance to pursue ahimsa (not harming other life). Roughly nine-in-ten Indian Jains (92%) identify as vegetarian, and two-thirds of Jains (67%) go further by abstaining from root vegetables such as garlic and onion."
@Ren-nk9pq,Majority of the people availing the free food are well off and have lakhs in their bank account. They will take the free food and never donate 1 cents for the cause.
@toohip,India: a country that has generational reliance upon hand outs and scamming the elderly and stupid people. Let&#39;s not make that a positive.
@devanshukumar7632,In the map of Indian is any one noticed that J&amp;K is missing.....wtf🙄
@dhavantrivedi6903,"18 hours and 400k vies , you rock 🤘"
@nmo3148,You eat achar like wasabi
@azharuddinmohammed3440,Come to Hyderabad and have beef briyani mannn and real delicious food
@jerryfox143,oh good it&#39;s india and you&#39;re actually in the vid lol
@sheraz1001,1 billion is old news. It has 1.5 billion people.
@ntn888,"it isn&#39;t raw banana, but unripe banana and cooked.."
@haximiamv357,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=100"">1:40</a> green potato"
@xzhf2198,These are the shitty samosas. Indians nor goras know how to make samosas
@MrCaesartheman,"damn after this, I&#39;m gonna go down and buy some butter chicken sauce, jalapenos and beef sausage and make a sausage curry on Japanese sticky rice."
@johndough1356,Spoons R mid
@Ms.MidnightMurmurs.fllw.sbscrb,The way staff waited for him to start speaking about pouring the oil HAHAHAHA😅
@MD-wv7ee,Ideas such as this are considered Communism in the USA - selfish majority actually think the poor should not get any charitable assistance!  It&#39;s a fkd up mentality and explains a lot in that country.  Similar attitude towards free healthcare.
@byos,Switch out the seed oils with what they used to use (Ghee).
@57AB,I love hearing the positive side of India ❤
@bruceleroy8063,Imagine how little a can of Campbell&#39;s chunky soup costs to make
@MrJoshpit,Why do their uniforms look like Goku&#39;s outfit 😅
@andyhallbootdoctornz3991,Their logo looks like a turd 💩 to me ?
@DEWEan24,Hope your stomach is okay 😂
@demongamingcodm,BEFRS+ INDIA = VIEWS+SUCCESS
@theboomtribe,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=454"">7:34</a> Who even eats samosa without the sauce 🧉<br><br>Sonny<br>You gotta do it properly if you watching the whole process"
@peterjarnes25,Hey big stud the world loves you! ❤❤❤❤❤❤❤❤❤❤❤
@TacoXRic3,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=207"">3:27</a>  🦶"
@amansworld________8775,firse india aagya
@RecicledCanadian,No wonder why 11% of India&#39;s population have Type 2 Debates . 11% out of 1B of population !!😮😮😮😮 One in four people (26%) in the world with diabetes is from India. India’s population as calculated in November 2024 was about 17.78% of the global total.
@abdulhafeez7524,Come to bhatkal you&#39;ll taste a very different cuisine from the world
@watchvideos9104,Real talk… I’m about 9 mins in and dam I’m sooo hungry now ..
@satvikreddy5210,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=60"">1:00</a> J&amp;K is part of INDIA"
@brandiefasching123,Sonny I need a video a day I’ve already watched all your videos I’m gonna start tweaking
@KshitijGole,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=761"">12:41</a> Right now I am eating drumsticks while watching your video, what a coincidence!!😂"
@NanjundaKT,My Respect/Thanks for Charity kitchen ❤
@jesstooley399,Its the western influence
@puccipower,I&#39;d like to see you go to south america.
@SantyandCo,Heartwarming video. Just donated to this organization.  Keep up the good work 😊
@dexterbriceno5265,From one Minnesotan to the other. You always da best Sonny! thanks for your amazing videos!
@victorandreyuk8005,"треба буде<a href=""UCkszU2WH9gy1mb0dV-11UJg/zPgfY66lCJGRhL0Pz6iA4Aw""></a>"
@maf420,"Babe, wake up, Sonny&#39;s dropped a new episode"
@bigmedie,No body should be hungry in the world god bless these people for helping
@RahulSaini-du9vg,Feeding other people for free is the best karma one can gain.
@gk9257,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=455"">7:35</a> jain samosa 🤔 first time seeing."
@vafarmer7444,"America is the richest Country in the world. Why can’t we do something like this on a larger scale? We spend Billions on a war that has nothing to do with us but, we can’t spend Billions on free food for all Americans!"
@KevinAnand9494,"India , State Andhra Pradesh government offering breakfast, lunch ,dinner for 15 rs ,0 .17 dollers , very good quality u can come and try  that food too"
@ismailvloger9315,❤🎉😊
@NeinDao,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=450"">7:30</a> would not planteen be better than banana as a potato substitute?"
@NicotineftCoffeeFlavoredWater,Tryna clean up their image 😂🤣🤣🤣
@therodtriptv,"Dude, we will still watch your videos even if you don&#39;t risk your life. We are here for the quality of the content, not the clickbait sensationalism. But you already know that. ; )"
@AMINAMahomad,I love my abbu&#39;s magic food 😭😢🔮😿😹
@BenjaminHamm-w8z,I mean it&#39;s 2025 we and they are allowed to use forks and knives sheesh
@AMINAMahomad,I love KFC and burger 🌭🦴🍕🥩🥢🥧🍔🍘🍛🍬🍦🥐🥗🍟🍻🍹🥃🍵🌾
@MattOrsman-p6s,Absolutely fantastic
@AMINAMahomad,🌶️🔥🌶️🔥
@AMINAMahomad,🔥😂
@callmesimpai7202,imagine they can do this in india but we have one of the highest homeless populations in the US.. this enrages me that we have people in the states who are homeless and starving but in India they make a collective effort to take care of people.. Thank the 1% for treating US citizens as personal paypigs. When is ENOUGH GOING TO BE ENOUGH? LATE STAGE CAPITALISIM IS DESTRYONG THIS COUNTRY AND EVERYTHING IT WAS FOUNDED ON AND WHAT WE ARE SUPPOSED TO BELIEVE IN AND UPHOLD IN OUR CONSTITUTION
@GoonieElTejano,the mascot had a fly on it hahahaha
@vineleak7676,The samosa mascot is very unfortunate 💩
@MNM6818,If 2 cents can feed 16000 people 5 dollar usd  probably feed the whole country 😂
@rodnattrass7021,That was one of my favorite videos by you. Heartwarming.
@Kana.And.Rawknoo,Please review the rameshwaram restaurant of India 🇮🇳 😊
@TheLatinacowgirl,"Sonny,, i loved this video. It brought me to happy tears. When I get paid I will be donating."
@litojonny,sonny got really skinny
@ismailfixs1126,"Do you know Jefferson actually wanted to go to India, but he landed in America.  <br>God protect the real India, if not, they could be killed and their land will be stolen like what happen to the native Americans"
@JNavy-oq4mu,I’ve been to India twice and never really cared for it but I’ve got to say that food kitchen is really cool!
@kelliepineda9822,how&#39;s wife n lil girl will we get to see family pic??
@aldrickespen6863,They only used hairnets and gloves due to the camera crew😭
@Zhilinjain,The whole process looks like making 💩 poop from poop 💩
@Josho4096,"I can just imagine wiseguy going off on the open toes/no shoes on <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=262"">4:22</a> lol"
@Portfoliorecoveryeatsballs,I love how your trying to teach them how to milk the cow like America workers always do 😂😂😂
@retrorich6991,repeat again
@vishs892,🥺💛
@apemancommeth8087,"As always, another winner Sonny!"
@evapereira3093,That&#39;s so awesome!
@Vywu,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=1090"">18:10</a> so cute"
@saum85,"Map of India is incorrect <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=60"">01:00</a>"
@bellong0202,"Not to hate but, your in a food factory, might as well refrain from a commentary directly in front of the food being processed, since you showcased how hygienic the process is, then might as well do a voice over."
@brianmoody2549,"Learning how the meals made and how they are feeding the hungry of there country,the meal looks delicious."
@OneChance-wins,"this right here to all the struggling families and those who fell on hard times and have no one, this is what we need globally"
@briancosgrove3261,Is it &#39;sumosa&#39; look like a poop emoji ??? Lol
@itastepaint,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=44"">0:44</a>  Gordon Ramsey hand/step combo"
@toddabbott781,"Turmeric is one of the main reasons I do not like most Indian food.  I do not hate it like licorice or coffee, but I do not like it.  The food is palatable but that is about it.  I also do not like a lot of heat.  Some heat is fine.  And sorry the lack of meat in many dishes is a bit much for me too."
@DukeICT,Thank you Sonny and crew. I love your videos. Thank you for opening windows to the world.
@JackHoliness99,"Matthew 4:4 Expanded Bible 2011<br>Jesus answered,<br>“It is written in the Scriptures,<br>‘A person lives not on bread alone, but by ·everything God says [L every word that comes out of God’s mouth; Deuteronomy 8:3].’”<br><a href=""https://m.youtube.com/@FirstChurchTruthofGodBroadcast"">https://m.youtube.com/@FirstChurchTruthofGodBroadcast</a>"
@flyinyeti,Im from new zealand there&#39;s many Indian supermarkets here who sell these imported from India my friend was telling me about these places that make them
@Billthebott,oil is only considered food to NPC&#39;s
@ctg4818,Always love seeing how absolutely dirty the kitchens are lol
@CarlosSindeaux,WHY EVERITHING IN INDIA IS SO FUCKING DIRTY??
@Balance-v8x,How awesome is that!? ❤
@anthonyplayground1402,The 3 sided samosa ... banned by Allah
@Kchill1986,Is this where plain Jane comes from?
@inmypocketzyabih,😂😂 POTATOE COUNT😂😂😂
@MrBimps,the hot dog comment 🤣
@thelandlord111,Says a lot about the world when the profit driven place is absolutely filthy but the charity organisation is top notch.
@silvercierra9310,"Brought me to tears, such a beautiful thing and after helene here in Asheville and all the suffer in the US even with cost of food right now here...this is just such a beautiful thing. Thanks Sonny!"
@Ray-sv9zi,Nothing like watching the homie distracting Third World factory workers.😅
@Fatherhood4Life,Did anyone notice the workers In the Samosa restaurant are barefoot.. OSHA approved lmao!
@vilorcruz7690,sana all
@RomanRoma-gp4hs,"Finally, don&#39;t make me watch mark wiens😢"
@lonniecarter2631,Dude if you&#39;ll practice alil you&#39;ll sound just like Casey Kasem
@AnaNguyen-q2z,Jesus is the way the truth and the Life no one can entered the kingdom of heaven unless you repent and believe in Him Jesus loves all of us we must place our faith in Him this message is not to offend but to plead and ask Jesus to save you. I have to as well. 🩷❤️🩵💚💜✝️💕💓💖🩷💜💚🩵✝️ Jesus loves us let’s ask Him to forgive us now.
@Largepapa2,Those green potatoes are not goud
@wonderlandparty6054,"Don&#39;t ask what goitha, uple, kande, gosse or thepdi is. You wont want to eat food in India anymore."
@depthgod7672,India got so much bomb food
@jordanperez3292,Bread lines have always kept people where there at
@scotlandtreasures4618,I love that food is cooked daily and fresh ingredients
@jamesdavis2359,Seeeeaaaaassssonnnninnnggssssss
@skitheface4207,You left out the part where they give it a final stir with their foot before sending it out 😂
@suryowirawanwibisono,Am i dreaming or is that a real indian with glove handling foods? Looked more hygienic❤❤
@baloney_sandwich,Ya Indian is broke
@CathiGordonloveshorses,Wow Sonny...So 😎 Cool ❤<br>You present the food So Good.<br>❤❤❤❤❤❤
@AryaMadam-q8f,"In India, All Government hospital (state level) food free for  patients and their relatives. (Morning:- <br>Patient:-2eggs and food <br>Relatives:- only food<br>Night:-<br>Patient:- milk and food<br>Relatives:- food)<br><br>Central Government level hospitals for critical patient and NGO&#39;s provide free food <br>I love my country ❤"
@bearkuda,The food in the second half looks so delicious! Id stop buy and eat!
@davidhynd4435,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=132"">2:12</a> Love the door marked &quot;Exit Door&quot;, completely blocked by equipment."
@doantuanan,That repeating AI generated stuff every few minutes is getting really annoying...
@ArjunKandasamy,This is incredible. Would love to see some donations from BEFRS!!
@GuessImNotClever,"Those types of potatoe peelers are everywhere, any fish and chips shop probably has one."
@pikminscool,food taste good from helping to make it possible
@Armadauzbekistan,Watching this video while eating was a big mistake
@edwinpillay1409,It&#39;s a Charity that&#39;s Ingrid in the Culture of Service to the People 🙏 like The Gods intended.
@Scitch-et4vk,Awful place
@ytmahonedog,How much do spoons cost in India 😮 would be easier to eat and less messy😢
@yashkumar-yp8gb,Great initiative sonn6
@tardiswarp1,"I absolutely always enjoy watching you channel, this video in particular because these very poor people are getting nutritious food for almost nothing, and you thought it was good food. I&#39;d eat it."
@Intricateshotz,Indians ALL DEEPLY LOVE to STARE. Literate Indians reading this please for goodness sake STOP
@Fray-Bentos,"Honestly...... Do you really need an ai hotdog image <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=693"">11:33</a>???? Are you telling me there are no legit hotdog images out there?..<br><br>Utter scumbags"
@HiPetitGateau,How much was he paid to show hygiene /recipes ive seen these videos from years ago they ate on the floors it was crazy messy<br>Glad this place is cleaned<br>No leaf?
@jeremycouch-p5l,That slimy goop gave me food poisoning I’ll never eat Indian food again! Unless it’s their barbecue lol
@DarthJeyDawg83,"Dude&#39;s shirt reminds me of goku lol <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=182"">3:02</a>"
@heartofthestreetsproductio8578,1 million people with 3 million horns
@markshen3280,"Sonny, Sambal is an Indonesian 🇮🇩 chilli 🌶️ sauce or pasts, NOT an Indian recipe, typically made from a mixture of chilli 🌶️ peppers with secondary ingredients such as shrimp 🦐 pasts, garlic 🧄, ginger 🫚, scallion , palm sugar, and lime 🍋‍🟩 juice. Sambal is an Indonesian 🇮🇩 loanword of Javanese origin."
@needmoreramsay,"Missed a perfect roasted nuts joke opportunity !! Sonny, you&#39;re slipping 😂"
@subjectbigy,Lots of gujus
@ImMrCsr,People for people not people for profit . I love it
@Fray-Bentos,Hey we paid for an ai subscription....  Let&#39;s use it f-ing everywhere and spoil the whole channel.....<br><br>We didnt sub for ai crap
@mider-spanman5577,Wisespade7 would just hate this video lol! 😆
@angeljimenez6786,Meanwhile 2 cent is 1 crumb over here
@eggplantandpeach,"At the gym, all those herbs &amp; spices seep through their sweat glands 🤢"
@brentmckinnon7762,"So I don&#39;t know about India, but here in Cape Town South Africa, you can get the outer shells of the samoosa with different flavoring. We call it Paaper Bites."
@ImpCaesarAugustus,The samosa mascot could very easily be mistaken for a pile of poo 💩
@markshen3280,"Sonny, good morning 🌅 to you from Hong Kong 🇭🇰 SAR. Samosa is also very popular in hawker centres in Singapore 🇸🇬 and Malaysia as a part of the Indian  🇮🇳 cultural cuisine."
@pequeuxdarleux1480,<b>La cuisine des Inde c&#39;est agréable si tu as des intestins en béton armé et des couches en Kevlar</b>
@romanazu5895,Do they know how to clean? 🤢🤢🤢
@simonf.2504,It&#39;s clear to see why India is often considered the &quot;diabetes capital of the world&quot;. <br>Carb central.
@tamaraash6602,Why does the samosa mascot look like the doodoo emoji&#39;s cousin 💩 😭
@salty82ndveteran,"I want to go to India so bad but I have some pretty serious health problems. I&#39;ll probably never make it over there, so thank you for all your videos!!! I definitely think you should give Nicaragua a shot! I&#39;ve been 3 different times and upon my first visit I fell in love with the country!!! It&#39;s an absolute paradise on Little Corn Island! Everyone speaks English, there&#39;s unlimited CLEAN drinking water, so many nationalities on the island at any time, and it&#39;s so inexpensive to travel there!!! Plus the food is on point. There&#39;s one concrete foot path on the island. North of the harbor, there&#39;s a few bars. The old lady who lives on that foot path frys up chicken and sliced fried plantains, she starts around 10pm and closes when she sells out and she sells out every night! OMG it&#39;s soooo good!!!"
@Hoodfav3700,Keep uploading 🤩🔥🔥🔥
@fendularatsq2317,did u visit the &quot;diarrhea man&quot; that is trending ?
@mohnjorrow1990,SEASOOINNNNIMGSSSSSS
@CollinsMalgwi,Drumstick = Moringa unripe pod
@notamishani,"this food is filth, we need to stop bullshitting ourselves"
@melin1969,"all the poeple complaining about hygiene , you may want to take a walk around your own countries cos your in for a real surprise trust me"
@PaulLoh,I wish I could reach through my screen and taste through osmosis some awesome samosas.
@lindasmith6072,So how come they are all barefoot at the first place?
@chlujo4567,Do you just say there’s human in there?
@JPORourke-z1n,"Why do you say peace at the end, why not &quot;May God watch over you&quot;? We&#39;re not a war."
@Burlib01,This video has put the brakes on so many stereotypical beliefs that I had about India. Thank you for that Sir.
@jijojacobsamuel,Drumstick = moringa
@sev3n7z,I wanna try the jain samosa
@JB-ef7ks,"5 minute mark the guy putting them together has one hand with a glove n the other without 😅<br>What makes this so important isn&#39;t just the hygiene from the ungloved but the fact that it&#39;s his LEFT HAND which in South East Asia is the one they use to wipe their asses cause toilet paper isn&#39;t normally part of their cultural defecation process cause they don&#39;t really have indoor plumbing, hence the insult of shaking hands with their left hand!!!😂"
@joemason9187,What beautiful people namaste 🙏
@XxGamer,This could&#39;ve been on the Main Channel.
@blodyholy_,Anyone have a clue why Sonny elongates his vowels like he does? It&#39;s not a Minnesota thing that I&#39;m aware of. Is it to stretch out each video for a few extra cents? 🤣
@vobisolx,Eating  with  fingers is very bad when don&#39;t  have  watter at discretion 😢
@mauricioabud4884,Por qué en español malísimo
@ken-tz1fx,you know they eat with the opposite hand that they wipe there bass with. we know you are right handed hahaha
